Site Name,Site Address,Site City,Site Telephone Number,Site Web Address,County Equivalent Name,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,lon,lat,popup
Dental Center,1048 Union St,Bangor,207-945-5247,NA,Penobscot,-68.80985806,44.81592596,-68.80985806,44.81592596,"<b> Dental Center </b> <br> Address:  1048 Union St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-945-5247 <br> Website:  NA"
Adult Wellness Center,1068 Union St,Bangor,207-947-0147,NA,Penobscot,-68.8104121,44.81668306,-68.8104121,44.81668306,"<b> Adult Wellness Center </b> <br> Address:  1068 Union St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-947-0147 <br> Website:  NA"
"EASTPORT HEALTH CARE, INC.",30 Boynton St,Eastport,207-853-6001,http://www.eastporthealth.org,Washington,-66.98778677,44.90518837,-66.98778677,44.90518837,"<b> EASTPORT HEALTH CARE, INC. </b> <br> Address:  30 Boynton St ,  Eastport ,  Washington  County <br> Phone Number:  207-853-6001 <br> Website:  http://www.eastporthealth.org"
Greater Portland Health at Lyman Moore Middle School,171 Auburn St,Portland,207-874-8150,NA,Cumberland,-70.28996453,43.70586895,-70.28996453,43.70586895,"<b> Greater Portland Health at Lyman Moore Middle School </b> <br> Address:  171 Auburn St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8150 <br> Website:  NA"
Greater Portland Health at Reiche Community School,166 Brackett St,Portland,207-874-8175,NA,Cumberland,-70.26685629,43.65075781,-70.26685629,43.65075781,"<b> Greater Portland Health at Reiche Community School </b> <br> Address:  166 Brackett St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8175 <br> Website:  NA"
DFD RUSSELL MEDICAL CENTER - MONMOUTH,11 Academy Rd,Monmouth,207-524-3501,www.dfdrussell.org,Kennebec,-70.03471026,44.24461242,-70.03471026,44.24461242,"<b> DFD RUSSELL MEDICAL CENTER - MONMOUTH </b> <br> Address:  11 Academy Rd ,  Monmouth ,  Kennebec  County <br> Phone Number:  207-524-3501 <br> Website:  www.dfdrussell.org"
Pines WOMEN & CHILDREN'S CENTER,163 Van Buren Rd STE 4,Caribou,207-498-1697,NA,Aroostook,-68.00832021,46.8795874,-68.00832021,46.8795874,"<b> Pines WOMEN & CHILDREN'S CENTER </b> <br> Address:  163 Van Buren Rd STE 4 ,  Caribou ,  Aroostook  County <br> Phone Number:  207-498-1697 <br> Website:  NA"
SUNBURY VILLAGE RETIREMENT RESD.,992 Ohio St,Bangor,207-262-9600,NA,Penobscot,-68.80879387,44.82420525,-68.80879387,44.82420525,"<b> SUNBURY VILLAGE RETIREMENT RESD. </b> <br> Address:  992 Ohio St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-262-9600 <br> Website:  NA"
CUMMINGS HEALTH CARE NURSING HM,Crocker Ave,Howland,207-794-6700,www.hanfqhc.org,Penobscot,-68.66487355,45.25119039,-68.66487355,45.25119039,"<b> CUMMINGS HEALTH CARE NURSING HM </b> <br> Address:  Crocker Ave ,  Howland ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
EAGLE LAKE HEALTH CENTER,10 Carter St,Eagle Lake,207-444-5973 x218,www.frrh.org,Aroostook,-68.5949992,47.03638524,-68.5949992,47.03638524,"<b> EAGLE LAKE HEALTH CENTER </b> <br> Address:  10 Carter St ,  Eagle Lake ,  Aroostook  County <br> Phone Number:  207-444-5973 x218 <br> Website:  www.frrh.org"
Greater Portland Health at Ocean Avenue Elementary School,150 Ocean Ave,Portland,207-874-8180,NA,Cumberland,-70.28241185,43.67593676,-70.28241185,43.67593676,"<b> Greater Portland Health at Ocean Avenue Elementary School </b> <br> Address:  150 Ocean Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8180 <br> Website:  NA"
North Haven Medical Clinic,135 Main St,North Haven,207-867-2021,NA,Knox,-68.87562515,44.13018339,-68.87562515,44.13018339,"<b> North Haven Medical Clinic </b> <br> Address:  135 Main St ,  North Haven ,  Knox  County <br> Phone Number:  207-867-2021 <br> Website:  NA"
SHEEPSCOT VALLEY HEALTH CENTER,47 Main St,Whitefield,207-549-7581,www.healthreachchc.org,Lincoln,-69.54683404,44.25598914,-69.54683404,44.25598914,"<b> SHEEPSCOT VALLEY HEALTH CENTER </b> <br> Address:  47 Main St ,  Whitefield ,  Lincoln  County <br> Phone Number:  207-549-7581 <br> Website:  www.healthreachchc.org"
KVHC Milo Elementary,18 Belmont St,Milo,207-538-3700,www.kvhc.org,Piscataquis,-68.9817796,45.25066315,-68.9817796,45.25066315,"<b> KVHC Milo Elementary </b> <br> Address:  18 Belmont St ,  Milo ,  Piscataquis  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Riverton Health Center,59 Riverton Dr,Portland,207-874-2141,www.portlandcommunityhealthcenter.org,Cumberland,-70.31998951,43.69869513,-70.31998951,43.69869513,"<b> Riverton Health Center </b> <br> Address:  59 Riverton Dr ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 <br> Website:  www.portlandcommunityhealthcenter.org"
Sacopee Valley Health Center,122 S Hiram Rd,Hiram,207-625-8126,www.svhc.org,Oxford,-70.86954597,43.81154501,-70.86954597,43.81154501,"<b> Sacopee Valley Health Center </b> <br> Address:  122 S Hiram Rd ,  Hiram ,  Oxford  County <br> Phone Number:  207-625-8126 <br> Website:  www.svhc.org"
Greater Portland Health at Longfellow Elementary School,432 Stevens Ave,Portland,207-874-8195,NA,Cumberland,-70.29523381,43.67289882,-70.29523381,43.67289882,"<b> Greater Portland Health at Longfellow Elementary School </b> <br> Address:  432 Stevens Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8195 <br> Website:  NA"
DFD RUSSELL MEDICAL CENTER - LEEDS,180 Church Hill Rd,Leeds,207-524-3501,www.dfdrussell.org,Androscoggin,-70.13643731,44.30139106,-70.13643731,44.30139106,"<b> DFD RUSSELL MEDICAL CENTER - LEEDS </b> <br> Address:  180 Church Hill Rd ,  Leeds ,  Androscoggin  County <br> Phone Number:  207-524-3501 <br> Website:  www.dfdrussell.org"
Greater Portland Health at East End School,195 North St,Portland,207-874-8228,NA,Cumberland,-70.25391815,43.67108946,-70.25391815,43.67108946,"<b> Greater Portland Health at East End School </b> <br> Address:  195 North St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8228 <br> Website:  NA"
Maine Avenue Administration/Clinical Center,103 Maine Ave,Bangor,207-945-5247,http://www.pchcbangor.org/,Penobscot,-68.80773777,44.80125776,-68.80773777,44.80125776,"<b> Maine Avenue Administration/Clinical Center </b> <br> Address:  103 Maine Ave ,  Bangor ,  Penobscot  County <br> Phone Number:  207-945-5247 <br> Website:  http://www.pchcbangor.org/"
Greater Portland Health at Lincoln Middle School,522 Stevens Ave,Portland,207-874-8145,NA,Cumberland,-70.29470248,43.67645153,-70.29470248,43.67645153,"<b> Greater Portland Health at Lincoln Middle School </b> <br> Address:  522 Stevens Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8145 <br> Website:  NA"
School-Based Health Center-Madawaska,353 11th Ave,Madawaska,207-834-3971,frrh.org,Aroostook,-68.33897062,47.33882664,-68.33897062,47.33882664,"<b> School-Based Health Center-Madawaska </b> <br> Address:  353 11th Ave ,  Madawaska ,  Aroostook  County <br> Phone Number:  207-834-3971 <br> Website:  frrh.org"
Winterport Community Health Center,775 N Main St,Winterport,207-992-9200,NA,Waldo,-68.83960334,44.64501904,-68.83960334,44.64501904,"<b> Winterport Community Health Center </b> <br> Address:  775 N Main St ,  Winterport ,  Waldo  County <br> Phone Number:  207-992-9200 <br> Website:  NA"
EHC UMM Clinic,39 O Brien Ave,Machias,207-255-0980,NA,Washington,-67.45798269,44.7102551,-67.45798269,44.7102551,"<b> EHC UMM Clinic </b> <br> Address:  39 O Brien Ave ,  Machias ,  Washington  County <br> Phone Number:  207-255-0980 <br> Website:  NA"
Pines Washburn Health Center,1260 Main St,Washburn,207-498-2356,www.pineshealthservices.org,Aroostook,-68.15705188,46.78802119,-68.15705188,46.78802119,"<b> Pines Washburn Health Center </b> <br> Address:  1260 Main St ,  Washburn ,  Aroostook  County <br> Phone Number:  207-498-2356 <br> Website:  www.pineshealthservices.org"
KVHC Katahdin Middle High School,800 Station Rd,Stacyville,207-538-3700,www.kvhc.org,Penobscot,-68.4384939,45.9251711,-68.4384939,45.9251711,"<b> KVHC Katahdin Middle High School </b> <br> Address:  800 Station Rd ,  Stacyville ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Greater Portland Health at King Middle School,92 Deering Ave,Portland,207-874-8140,NA,Cumberland,-70.2746922,43.65736367,-70.2746922,43.65736367,"<b> Greater Portland Health at King Middle School </b> <br> Address:  92 Deering Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8140 <br> Website:  NA"
Greater Portland Health at Sagamore Village,68 Popham St,Portland,207-874-2141,NA,Cumberland,-70.32286081,43.67604417,-70.32286081,43.67604417,"<b> Greater Portland Health at Sagamore Village </b> <br> Address:  68 Popham St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 <br> Website:  NA"
Northern Pine Care Estates,35 Ridge Rd,Lee,207-738-4663,http://northernpinescare.com/,Penobscot,-68.29888744,45.39128765,-68.29888744,45.39128765,"<b> Northern Pine Care Estates </b> <br> Address:  35 Ridge Rd ,  Lee ,  Penobscot  County <br> Phone Number:  207-738-4663 <br> Website:  http://northernpinescare.com/"
KVHC Houlton Middle High School,7 Bird St,Houlton,207-538-3700,www.kvhc.org,Aroostook,-67.8273286,46.12798261,-67.8273286,46.12798261,"<b> KVHC Houlton Middle High School </b> <br> Address:  7 Bird St ,  Houlton ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
MAINE VETERANS CENTER/HOMES,44 Hogan Rd,Bangor,207-942-2333,NA,Penobscot,-68.73815272,44.81586842,-68.73815272,44.81586842,"<b> MAINE VETERANS CENTER/HOMES </b> <br> Address:  44 Hogan Rd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-942-2333 <br> Website:  NA"
ST CROIX REGIONAL AT CALAIS,5 Lowell St STE 4,Calais,207-796-5503,NA,Washington,-67.27966661,45.18792631,-67.27966661,45.18792631,"<b> ST CROIX REGIONAL AT CALAIS </b> <br> Address:  5 Lowell St STE 4 ,  Calais ,  Washington  County <br> Phone Number:  207-796-5503 <br> Website:  NA"
Nasson Health Care - Springvale,15 Oak St,Springvale,207-324-0546,NA,York,-70.79810073,43.46520092,-70.79810073,43.46520092,"<b> Nasson Health Care - Springvale </b> <br> Address:  15 Oak St ,  Springvale ,  York  County <br> Phone Number:  207-324-0546 <br> Website:  NA"
Islands Community Medical Center Annex,25 Medical Center Loop,Vinalhaven,207-863-4109,NA,Knox,-68.83106972,44.04608458,-68.83106972,44.04608458,"<b> Islands Community Medical Center Annex </b> <br> Address:  25 Medical Center Loop ,  Vinalhaven ,  Knox  County <br> Phone Number:  207-863-4109 <br> Website:  NA"
Bucksport Regional Health Center- Ellsworth Site,37 Commerce Park,Ellsworth,207-469-7371,NA,Hancock,-68.43322051,44.5619035,-68.43322051,44.5619035,"<b> Bucksport Regional Health Center- Ellsworth Site </b> <br> Address:  37 Commerce Park ,  Ellsworth ,  Hancock  County <br> Phone Number:  207-469-7371 <br> Website:  NA"
The Hutchinson Center,80 Belmont Ave,Belfast,207-338-6900,NA,Waldo,-69.03614807,44.41961382,-69.03614807,44.41961382,"<b> The Hutchinson Center </b> <br> Address:  80 Belmont Ave ,  Belfast ,  Waldo  County <br> Phone Number:  207-338-6900 <br> Website:  NA"
Temporary Site - Rodeway Inn,327 Odlin Rd,Bangor,207-620-1406,NA,Penobscot,-68.81166276,44.7891102,-68.81166276,44.7891102,"<b> Temporary Site - Rodeway Inn </b> <br> Address:  327 Odlin Rd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-620-1406 <br> Website:  NA"
Greater Portland Health at Portland High School,284 Cumberland Ave,Portland,207-874-8250,NA,Cumberland,-70.25896104,43.65915422,-70.25896104,43.65915422,"<b> Greater Portland Health at Portland High School </b> <br> Address:  284 Cumberland Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8250 <br> Website:  NA"
Katahdin Valley Health Center Patten,30 Houlton St,Patten,207-538-3700,www.kvhc.org,Penobscot,-68.44601238,45.99550319,-68.44601238,45.99550319,"<b> Katahdin Valley Health Center Patten </b> <br> Address:  30 Houlton St ,  Patten ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Sacopee Valley School District,115 S Hiram Rd,Hiram,207-625-3208,NA,Oxford,-70.86941471,43.81149912,-70.86941471,43.81149912,"<b> Sacopee Valley School District </b> <br> Address:  115 S Hiram Rd ,  Hiram ,  Oxford  County <br> Phone Number:  207-625-3208 <br> Website:  NA"
Greater Portland Health at Riverton Elementary School,1600 Forest Ave,Portland,207-874-8210,NA,Cumberland,-70.30763014,43.69723299,-70.30763014,43.69723299,"<b> Greater Portland Health at Riverton Elementary School </b> <br> Address:  1600 Forest Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8210 <br> Website:  NA"
KVHC East Millinocket Schools,45 North St # 1,East Millinocket,207-538-3700,www.kvhc.org,Penobscot,-68.57173774,45.63168321,-68.57173774,45.63168321,"<b> KVHC East Millinocket Schools </b> <br> Address:  45 North St # 1 ,  East Millinocket ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
CCS Behavioral at Ren School,15 Sacred Heart Pl RM A,Auburn,207-777-4175,http://www.stmarysmaine.com/Departments-Services/renaissance-school.html,Androscoggin,-70.23526615,44.08926382,-70.23526615,44.08926382,"<b> CCS Behavioral at Ren School </b> <br> Address:  15 Sacred Heart Pl RM A ,  Auburn ,  Androscoggin  County <br> Phone Number:  207-777-4175 <br> Website:  http://www.stmarysmaine.com/Departments-Services/renaissance-school.html"
RICHMOND AREA HEALTH CENTER,24 Gardiner St,Richmond,207-737-4359,www.healthreachchc.org,Sagadahoc,-69.80575221,44.08612761,-69.80575221,44.08612761,"<b> RICHMOND AREA HEALTH CENTER </b> <br> Address:  24 Gardiner St ,  Richmond ,  Sagadahoc  County <br> Phone Number:  207-737-4359 <br> Website:  www.healthreachchc.org"
Mattanawcook Academy School Based Health Center,15 Reed Dr,Lincoln,207-794-6700,www.hanfqhc.org,Penobscot,-68.49910736,45.37845576,-68.49910736,45.37845576,"<b> Mattanawcook Academy School Based Health Center </b> <br> Address:  15 Reed Dr ,  Lincoln ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
Temorary Site - Quality Inn Bangor Airport,250 Odlin Rd,Bangor,207-620-1406,NA,Penobscot,-68.81008118,44.79159623,-68.81008118,44.79159623,"<b> Temorary Site - Quality Inn Bangor Airport </b> <br> Address:  250 Odlin Rd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-620-1406 <br> Website:  NA"
Greater Portland Health at Fred P. Hall Elementary School,23 Orono Rd,Portland,207-874-8205,NA,Cumberland,-70.31716615,43.67846067,-70.31716615,43.67846067,"<b> Greater Portland Health at Fred P. Hall Elementary School </b> <br> Address:  23 Orono Rd ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8205 <br> Website:  NA"
Sebasticook Family Doctors - Dexter,29 Church St,Dexter,207-924-5200,www.hhcme.org,Penobscot,-69.28846682,45.02550828,-69.28846682,45.02550828,"<b> Sebasticook Family Doctors - Dexter </b> <br> Address:  29 Church St ,  Dexter ,  Penobscot  County <br> Phone Number:  207-924-5200 <br> Website:  www.hhcme.org"
RSU19,291 Williams Rd,Newport,207-368-4213,www.hhcme.org,Penobscot,-69.29301132,44.88105058,-69.29301132,44.88105058,"<b> RSU19 </b> <br> Address:  291 Williams Rd ,  Newport ,  Penobscot  County <br> Phone Number:  207-368-4213 <br> Website:  www.hhcme.org"
Seaport Community Health Center,53 Schoodic Dr,Belfast,207-338-6900,NA,Waldo,-69.02348377,44.41865594,-69.02348377,44.41865594,"<b> Seaport Community Health Center </b> <br> Address:  53 Schoodic Dr ,  Belfast ,  Waldo  County <br> Phone Number:  207-338-6900 <br> Website:  NA"
South Portland Community Health Center,100 Brickhill Ave,South Portland,207-874-2141 x5028,NA,Cumberland,-70.30812945,43.63777592,-70.30812945,43.63777592,"<b> South Portland Community Health Center </b> <br> Address:  100 Brickhill Ave ,  South Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 x5028 <br> Website:  NA"
WOODLANDS ASSISTED LIVING BREWER,53 Colonial Cir,Brewer,207-989-7577,NA,Penobscot,-68.74908197,44.78868302,-68.74908197,44.78868302,"<b> WOODLANDS ASSISTED LIVING BREWER </b> <br> Address:  53 Colonial Cir ,  Brewer ,  Penobscot  County <br> Phone Number:  207-989-7577 <br> Website:  NA"
Katahdin Valley Health NH Millinocket,22 Walnut St,Millinocket,207-538-3700,www.kvhc.org,Penobscot,-68.69437664,45.65683017,-68.69437664,45.65683017,"<b> Katahdin Valley Health NH Millinocket </b> <br> Address:  22 Walnut St ,  Millinocket ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Greater Portland Health at Westbrook High School,125 Stroudwater St,Westbrook,207-854-0810,www.greaterportlandhealth.org,Cumberland,-70.35409757,43.67355793,-70.35409757,43.67355793,"<b> Greater Portland Health at Westbrook High School </b> <br> Address:  125 Stroudwater St ,  Westbrook ,  Cumberland  County <br> Phone Number:  207-854-0810 <br> Website:  www.greaterportlandhealth.org"
KATAHDIN NURSING HOME,22 Walnut St,Millinocket,207-794-6700,www.hanfqhc.org,Penobscot,-68.69437664,45.65683017,-68.69437664,45.65683017,"<b> KATAHDIN NURSING HOME </b> <br> Address:  22 Walnut St ,  Millinocket ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
Portland Community Health Center at Preble Street,63 Preble St,Portland,207-874-2141,www.portlandcommunityhealthcenter.org,Cumberland,-70.26158684,43.65899022,-70.26158684,43.65899022,"<b> Portland Community Health Center at Preble Street </b> <br> Address:  63 Preble St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 <br> Website:  www.portlandcommunityhealthcenter.org"
YORK COUNTY COMMUNITY ACTION CORPORATION,6 Spruce St,Sanford,207-324-5762,n/a,York,-70.77148022,43.44238139,-70.77148022,43.44238139,"<b> YORK COUNTY COMMUNITY ACTION CORPORATION </b> <br> Address:  6 Spruce St ,  Sanford ,  York  County <br> Phone Number:  207-324-5762 <br> Website:  n/a"
Pines Kimball Community Health Center,11 Harmony Ln,Fort Fairfield,207-472-0590,www.pineshealthservices.org,Aroostook,-67.84407196,46.76702393,-67.84407196,46.76702393,"<b> Pines Kimball Community Health Center </b> <br> Address:  11 Harmony Ln ,  Fort Fairfield ,  Aroostook  County <br> Phone Number:  207-472-0590 <br> Website:  www.pineshealthservices.org"
BANGOR NURSING & REHABILITATION CENTER,103 Texas Ave,Bangor,207-947-4557,NA,Penobscot,-68.80010184,44.80854403,-68.80010184,44.80854403,"<b> BANGOR NURSING & REHABILITATION CENTER </b> <br> Address:  103 Texas Ave ,  Bangor ,  Penobscot  County <br> Phone Number:  207-947-4557 <br> Website:  NA"
EAST GRAND HEALTH CENTER,201 Houlton Rd,Danforth,207-448-2347,eghc.org,Washington,-67.86215365,45.66667137,-67.86215365,45.66667137,"<b> EAST GRAND HEALTH CENTER </b> <br> Address:  201 Houlton Rd ,  Danforth ,  Washington  County <br> Phone Number:  207-448-2347 <br> Website:  eghc.org"
Temporary Site - MAINE MOBILE HEALTH PROGRAM,9 Green St,Augusta,207-622-9252,www.mainemobile.org,Kennebec,-69.77644094,44.31281438,-69.77644094,44.31281438,"<b> Temporary Site - MAINE MOBILE HEALTH PROGRAM </b> <br> Address:  9 Green St ,  Augusta ,  Kennebec  County <br> Phone Number:  207-622-9252 <br> Website:  www.mainemobile.org"
BANGOR AREA HOMELESS SHELTER,26 Cedar St,Bangor,207-947-6018,NA,Penobscot,-68.77378931,44.79694909,-68.77378931,44.79694909,"<b> BANGOR AREA HOMELESS SHELTER </b> <br> Address:  26 Cedar St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-947-6018 <br> Website:  NA"
MMHP Lewiston,11 Lisbon St Ste 102C,Lewiston,207-622-9252,mainemobile.org,Androscoggin,-70.21809893,44.09840546,-70.21809893,44.09840546,"<b> MMHP Lewiston </b> <br> Address:  11 Lisbon St Ste 102C ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-622-9252 <br> Website:  mainemobile.org"
ELIZABETH LEVINSON CENTER,159 Hogan Rd,Bangor,207-941-4400,NA,Penobscot,-68.73888924,44.81973021,-68.73888924,44.81973021,"<b> ELIZABETH LEVINSON CENTER </b> <br> Address:  159 Hogan Rd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-941-4400 <br> Website:  NA"
CCS Behavioral at LAIM (Room A),3 Willow Run,Auburn,207-513-3550,http://www.stmarysmaine.com/Our-Providers/l-a-internal-medicine.html,Androscoggin,-70.235053,44.120156,-70.235053,44.120156,"<b> CCS Behavioral at LAIM (Room A) </b> <br> Address:  3 Willow Run ,  Auburn ,  Androscoggin  County <br> Phone Number:  207-513-3550 <br> Website:  http://www.stmarysmaine.com/Our-Providers/l-a-internal-medicine.html"
North Haven Community School,93 Pulpit Harbor Rd,North Haven,207-867-4707,NA,Knox,-68.87631129,44.14992667,-68.87631129,44.14992667,"<b> North Haven Community School </b> <br> Address:  93 Pulpit Harbor Rd ,  North Haven ,  Knox  County <br> Phone Number:  207-867-4707 <br> Website:  NA"
