Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Site Add to Scope Date Text,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Health Center Organization Contact Name,Health Center Organization Contact Telephone Number,Health Center Organization Contact Email Address,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-024545,Miles Lane School,52 Miles Ln,Bucksport,ME,04416-4667,207-469-6666,,32,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/06/2018,2018/08/06,Bucksport Regional Health Center,110 Broadway,Bucksport,ME,04416-4612,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.77989812,44.57907165,Y,N,N,23009,Hancock County,Hancock,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005791,ORONO COMMONS,117 Bennoch Rd,Orono,ME,04473-3620,207-866-4914,,28,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.67938384,44.89401601,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-033929,Greater Portland Health at South Portland High School,637 Highland Ave,South Portland,ME,04106-6425,207-874-2141,,20,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/29/2021,2021/11/29,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.26834626,43.62074217,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-002199,BREWER HIGH SCHOOL CLINIC,79 Parkway S,Brewer,ME,04412-1627,207-992-2456,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/08/2006,2006/01/08,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.75546638,44.78180747,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-007179,Eastport Health Care Calais,10 Palmer St,Calais,ME,04619-1386,207-454-8300,http://www.eastporthealth.org,8,7,All Other Clinic Types,1,Active,201864,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,11/01/2006,2006/11/01,Eastport Health Care Inc,30 Boynton St,Eastport,ME,04631-1306,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.26946316,45.18080936,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-007298,THE MEADOWS,101 Perkins Ave,Old Town,ME,04468-1740,207-827-0547,,1,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.6516745,44.92869799,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-004896,HELEN HUNT HEALTH CENTER,242 Brunswick St,Old Town,ME,04468-1613,207-827-6128,,72,7,All Other Clinic Types,1,Active,201847,1629161559,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/2008,2008/01/01,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.64660549,44.93265515,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00150,010380,BPS-H80-003154,EAST MACHIAS,893 Main St,East Machias,ME,04630-4051,207-255-0102,www.rmcl.org,40,7,All Other Clinic Types,1,Active,201862,1104967884,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,09/15/2006,2006/09/15,REGIONAL MEDICAL CENTER AT LUBEC ME INC,43 S Lubec Rd,Lubec,ME,04652-3620,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.41457997,44.72283902,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-012549,Dental Center,1048 Union St,Bangor,ME,04401-3016,207-945-5247,,50,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,11/14/2012,2012/11/14,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80985806,44.81592596,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-003162,Adult Wellness Center,1068 Union St,Bangor,ME,04401-3016,207-947-0147,,48,7,All Other Clinic Types,1,Active,201941,1083259410,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/08/2005,2005/01/08,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.8104121,44.81668306,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-000601,"EASTPORT HEALTH CARE, INC.",30 Boynton St,Eastport,ME,04631-1306,207-853-6001,http://www.eastporthealth.org,48,7,All Other Clinic Types,1,Active,201816,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,11/01/1993,1993/11/01,Eastport Health Care Inc,30 Boynton St,Eastport,ME,04631-1306,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-66.98778677,44.90518837,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021124,Greater Portland Health at Lyman Moore Middle School,171 Auburn St,Portland,ME,04103-2131,207-874-8150,,1,2,School,1,Active,,1093256380,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/14/2017,2017/09/14,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.28996453,43.70586895,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021126,Greater Portland Health at Reiche Community School,166 Brackett St,Portland,ME,04102-3825,207-874-8175,,1,2,School,1,Active,,1760930739,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/14/2017,2017/09/14,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.26685629,43.65075781,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-003982,DFD RUSSELL MEDICAL CENTER - MONMOUTH,11 Academy Rd,Monmouth,ME,04259-7035,207-524-3501,www.dfdrussell.org,46.5,7,All Other Clinic Types,1,Active,201888,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/04/2002,2002/01/04,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,ME,04263-3418,Gary Rivard,207-524-3501,gary.rivard@dfdrussell.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.03471026,44.24461242,Y,N,N,23011,Kennebec County,Kennebec,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-002683,Pines WOMEN & CHILDREN'S CENTER,163 Van Buren Rd STE 4,Caribou,ME,04736-3567,207-498-1697,,54,7,All Other Clinic Types,1,Active,201865,1528383262,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/09/2007,2007/01/09,Pines Health Services,74 Access Hwy,Caribou,ME,04736-3807,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.00832021,46.8795874,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006183,SUNBURY VILLAGE RETIREMENT RESD.,992 Ohio St,Bangor,ME,04401-2902,207-262-9600,,4,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/03/2006,2006/01/03,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80879387,44.82420525,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-006871,CUMMINGS HEALTH CARE NURSING HM,Crocker Ave,Howland,ME,04448,207-794-6700,www.hanfqhc.org,10,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,11/21/2003,2003/11/21,"Health Access Network, Inc.",175 W Broadway,Lincoln,ME,04457-4000,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.66487355,45.25119039,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-002678,EAGLE LAKE HEALTH CENTER,10 Carter St,Eagle Lake,ME,04739-3060,207-444-5973 x218,www.frrh.org,54,7,All Other Clinic Types,1,Active,201802,1376761288,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,07/01/1990,1990/07/01,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.5949992,47.03638524,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-020998,Greater Portland Health at Ocean Avenue Elementary School,150 Ocean Ave,Portland,ME,04103-5746,207-874-8180,,1,2,School,1,Active,,1164963450,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/15/2017,2017/08/15,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.28241185,43.67593676,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-012627,North Haven Medical Clinic,135 Main St,North Haven,ME,04853-3320,207-867-2021,,8,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,05/30/2013,2013/05/30,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,ME,04863-4119,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.87562515,44.13018339,Y,N,N,23013,Knox County,Knox,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-000193,SHEEPSCOT VALLEY HEALTH CENTER,47 Main St,Whitefield,ME,04353-3142,207-549-7581,www.healthreachchc.org,50.5,7,All Other Clinic Types,1,Active,201809,1841263118,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,08/18/1980,1980/08/18,Healthreach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.54683404,44.25598914,Y,N,N,23015,Lincoln County,Lincoln,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021376,KVHC Milo Elementary,18 Belmont St,Milo,ME,04463-1304,207-538-3700,www.kvhc.org,5,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/30/2017,2017/10/30,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.9817796,45.25066315,Y,N,N,23021,Piscataquis County,Piscataquis,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-012733,Riverton Health Center,59 Riverton Dr,Portland,ME,04103-1050,207-874-2141,www.portlandcommunityhealthcenter.org,36,7,All Other Clinic Types,1,Active,201910,1447694344,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,07/16/2013,2013/07/16,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.31998951,43.69869513,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00458,011230,BPS-H80-017741,Sacopee Valley Health Center,122 S Hiram Rd,Hiram,ME,04041-3647,207-625-8126,www.svhc.org,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,04/06/2016,2016/04/06,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,ME,04068-3527,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.86954597,43.81154501,Y,N,N,23017,Oxford County,Oxford,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
